formatted_name,formatted_universe,year,role,gender,eye,hair,color1,color2,description,image,banner,name,universe
Dr. Eggman,Sonic,1991,Antagonist,Male,Blue,None / Undefined,Red,Yellow,"Doctor Ivo ""Eggman"" Robotnik is the main antagonist of Sega's Sonic the Hedgehog series. Eggman was created and designed by Naoto Ohshima as part of many design choices for Sega's new mascot. After the creation of Sonic the Hedgehog, Ohshima chose to use his previous egg-shaped character to create the antagonist of the 1991 video game Sonic the Hedgehog, making him the arch-nemesis of the series' eponymous main character.

In the main line of video games, Dr. Eggman is a mad scientist who plans to conquer the world to build his own empire. While he has gone through several major and minor appearance changes throughout the series, his in-game designs retain several basic characteristics, such as his ovate body, red-black-yellow clothing, bald head, a onesie, pince-nez sunglasses, and large mustache. Eggman commonly creates machines and robots, including a wide variety of Badniks. Notably in early games, he has also served as a recurring boss, appearing in almost every level piloting one of his created vehicles.

Eggman has appeared in almost every Sonic the Hedgehog video game since his first appearance in the 1991 title Sonic the Hedgehog and is also a prominent character in other media, including comics, novels, and cartoons. He made his live-action cinematic debut in the 2020 film adaptation, portrayed by Jim Carrey. Eggman has been well received by critics and is one of the most popular and recognizable villains in gaming history.

",sonic_dr_eggman.png,banner_sonic.png,dr eggman,sonic
Shadow the Hedgehog,Sonic,2001,Neutral,Male,Red,None / Undefined,Dark Gray,Red,"Shadow the Hedgehog is an artificially created life form in the design of a black and red male hedgehog, similar to Sonic. His trademark hover skates propel him at extreme speeds that rival those of Sonic.

According to official profiles, Shadow was created 50 years ago by Professor Gerald Robotnik as the ""Ultimate Life Form"", which is ageless and immortal. Sharp witted and seemingly always on the edge, once he has set himself to a goal, he will do whatever it takes to accomplish it, regardless of any danger. After the trauma of the death of his only friend, Maria Robotnik, Shadow strives to fulfill his purpose and keep the promise he made to her. Although his relationship with Sonic seems to have developed from antagonistic to friendly rivalry, animosity from not understanding their different mindsets still occurs.

However, Shadow shares a lot of similarities with Sonic. He can perform spin attacks common to Sonic, which are a variation on the tendency for hedgehogs to roll into tight balls for protection. Additionally, with the power of a Chaos Emerald, Shadow can warp time and space with Chaos Control. Shadow is also able to use a variety of other Chaos powers, such as ""Chaos Spear"" and ""Chaos Blast"".

Using the power of the seven Chaos Emeralds, Shadow uses his super transformation to transform into Super Shadow and bestows new abilities of flight and near invulnerability, with normal abilities of speed and enhanced Chaos powers.

",sonic_shadow.png,banner_sonic.png,shadow,sonic
Silver the Hedgehog,Sonic,2006,Secondary,Male,Yellow,None / Undefined,Yellow,Light Gray,"Silver the Hedgehog is a silver-furred hedgehog from 200 years in the future of the main timeline. He first appeared in the 2006 Sonic the Hedgehog. His individual episode revolves around him traveling back in time with Blaze the Cat to find and slay Sonic the Hedgehog, who they believe is the cause of their world being destroyed in the future. Silver's primary ability is telekinesis; he is able to levitate objects and use them as projectiles to either defeat enemies, or interact with his environment. Like Sonic and Shadow, he transforms into his ""super form"" by using the power of the seven Chaos Emeralds.

Silver's creation was inspired by the game's early development stages, where the development team was making huge levels with multiple paths through them, and decided they wanted to include a new character with unique abilities for an alternate way to play through the levels. The design team developed over fifty different concepts for the character. At one point he was to actually be an orange mink named Venice (named after the city of the same name), but the developers ultimately decided against this, fearing a mink would not blend in with the rest of the characters. They ended up deciding to make another hedgehog instead. Orange was originally decided for his fur, but they soon moved away from that in color, in favor to a white-gray one. While developing the character models and textures, they focused on using the hardware to develop the textures rather than just use white-gray, which lead to Silver's color and name. Additionally, Silver's backstory was inspired by Trunks from the 1984 - 1995 manga Dragon Ball, who made a similar journey to the past to kill two androids that would eradicate most of humanity in his own time; the script for Sonic the Hedgehog (2006) flat-out states ""Essentially, think Trunks from Dragon Ball Z.""

Since his first appearance in Sonic the Hedgehog (2006), he has mainly appeared in the Sonic series' spinoffs, multiplayer games, and small cameo roles. He is one of the playable characters in Sonic Rivals and Sonic Rivals 2, a playable character strictly in the multiplayer modes in Sonic and the Secret Rings and Sonic and the Black Knight, a playable racer in Sonic Riders: Zero Gravity, Sonic Free Riders and Team Sonic Racing, and a playable athlete in the Mario & Sonic series beginning with Mario & Sonic at the Olympic Winter Games. He appears in Sonic Generations as a boss in the stages Crisis City (console version) and Tropical Resort (3DS version). Additionally, Silver was one of a few Sega characters to make a cameo in Super Smash Bros. Brawl, in the background of Sonic's Green Hill Zone stage, and as a trophy and sticker.

The character has generally not been very well-received by critics.",sonic_silver.png,banner_sonic.png,silver,sonic
Vector the Crocodile,Sonic,1995,Enemy,Male,Yellow,None / Undefined,Green,Yellow,"Vector the Crocodile is a crocodile who is the ""head honcho"" and brains of the Chaotix Detective Agency. Divided between being ""bossy"" and ""easy-going"", his rough speech and outward appearance mask his clear reasoning and ability to resolve cases. For the right price he will take on most jobs, unless they involve doing something immoral. Vector has a strong sense of justice and kindness, despite his argumentativeness. He often does unpaid work due to his charitable nature, leaving the agency constantly short on money. Vector hates having to work for the landlord, but he enjoys singing, and his trademark is a set of headphones. He is physically very strong and his powerful jaws are a formidable weapon.

Vector was originally supposed to be in the sound test of the first Sonic the Hedgehog game, but he, along with the feature itself, was removed prior to release. He was part of Team Chaotix in Sonic Heroes and is featured in Shadow the Hedgehog, Sonic Generations, Sonic Forces and more (alongside both Espio and Charmy in said games). In all installments of Mario & Sonic at the Olympic Games, he is a playable athlete. He is playable in other spinoff titles such as Sonic Free Riders and Team Sonic Racing.

",sonic_vector.png,banner_sonic.png,vector,sonic
Metal Sonic,Sonic,1993,Enemy,Other,Red,None / Undefined,Blue,Red,"Metal Sonic is an evil robotic version of Sonic created by Dr. Robotnik. He first appears in Sonic the Hedgehog CD. He is given orders to go back in time and change the past so that Dr. Eggman can rule the future. Sonic must race him in Stardust Speedway to free Amy Rose. He is severely wounded when he crashes and falls, but is rejuvenated by Robotnik in Sonic the Hedgehog 4: Episode II, only to be defeated again in a similar style. He returns in Knuckles' Chaotix, where he attempts to obtain the Chaos Rings, but he is stopped by the Chaotix. Metal Sonic notably acted as the main antagonist in Sonic Heroes, appearing in a new form as Neo Metal Sonic before transforming into the game's final boss, the Metal Overlord. Upon being defeated by Super Sonic, Tails, and Knuckles, he reverts to his traditional appearance. He appears as the main antagonist in the Sonic the Hedgehog (OVA), where Eggman records Sonic's abilities and uploads them to Metal Sonic, who proceeds in attempting to destroy the world before being tossed into lava by Sonic. Metal Sonic appears as a bonus playable character in Sonic Rivals, reprogrammed to aid Eggman Nega in his attempt to take over the world. He returns as a playable character in Sonic Rivals 2, under orders from Eggman to aid Shadow in stopping Eggman Nega's plans. In Sonic Free Riders, Metal Sonic is a playable character and the final opponent in the game's story mode. In Sonic Generations, he appears in his classic form as a rival boss, battling Classic Sonic in Stardust Speedway before ultimately being destroyed. Metal Sonic returns as a boss character in Sonic Boom: Rise of Lyric and Sonic Boom: Shattered Crystal. He appears in the Sonic Boom episode, ""It Wasn't Me, It Was the One-Armed Hedgehog"". Metal Sonic appears as a boss in the Sonic story mode of Lego Dimensions.

Metal Sonic appeared as a playable character in the multiplayer mode of Sonic Adventure 2: Battle, as well as Sonic & Sega All-Stars Racing, Sonic & All-Stars Racing Transformed, and all the Mario & Sonic titles beginning with Mario & Sonic at the Olympic Winter Games. Collecting all the emblems in Sonic Adventure DX: Director's Cut unlocks Metal Sonic as a bonus playable character in Sonic's stages, and purchasing both episodes of Sonic the Hedgehog 4 unlocks bonus levels in which Metal Sonic is playable.

He possesses great strength, including a laser cannon, a jet engine and a force field device he can use to protect himself from projectiles and certain attacks. He usually only communicates with a series of electronic noises. The only notable time Metal Sonic was able to talk was in Sonic Heroes in which he was voiced by Jun'ichi Kanemaru in Japanese and Ryan Drummond in English.

GameDaily placed Metal Sonic 13th on their ""Top 25 Video Game Robots"" list, describing him as Dr. Robotnik's ""greatest creation"" and praising the strength of his abilities.

",sonic_metal_sonic.png,banner_sonic.png,metal sonic,sonic
Mario,Super Mario,1981,Protagonist,Male,Blue,Brown,Red,Blue,"Mario is a character created by Japanese video game designer Shigeru Miyamoto. He is the title character of the Mario franchise and the mascot of Japanese video game company Nintendo. Mario has appeared in over 200 video games since his creation. Depicted as a short, pudgy, Italian plumber who resides in the Mushroom Kingdom, his adventures generally center on rescuing Princess Peach from the Koopa villain Bowser. Mario has access to a variety of power-ups that give him different abilities. Mario's fraternal twin brother is Luigi.

Mario first appeared as the player character of Donkey Kong (1981), a platform game. Miyamoto wanted to use Popeye as the protagonist, but when he could not achieve the licensing rights, he created Mario instead. Miyamoto expected the character to be unpopular and planned to use him for cameo appearances; originally called ""Mr. Video"", he was renamed to Mario after Mario Segale. Mario's clothing and characteristics were themed after the setting of Donkey Kong. He then began to star in the Super Mario series of platform games, beginning with the critically acclaimed Super Mario Bros. in 1985. Since 1992, Mario has been voiced by Charles Martinet.

After Super Mario Bros., Mario began to branch off to different genres. These include puzzle games such as Dr. Mario, role-playing games such as Paper Mario and Mario & Luigi, and sports games such as Mario Kart and Mario Tennis. He has appeared in other Nintendo properties, such as in the Super Smash Bros. series of crossover fighting games. Mario has also appeared in various animations, including three series produced by DIC Entertainment (voiced by Lou Albano and later Walker Boone), and was portrayed by Bob Hoskins in the 1993 Super Mario Bros. film. He will be voiced by Chris Pratt in the upcoming 2023 film adaptation.

Mario is near-unanimously considered to be the most famous character in the video game industry and an established pop culture icon. Mario's likeness has appeared in a variety of merchandise, such as clothing and collectible items, and people and places have been nicknamed after him. He has also inspired a considerable amount of unofficial media. With more than 750 million units sold worldwide, the overall Mario franchise is the bestselling video game franchise of all time.",super_mario_mario.png,banner_super_mario.png,mario,super mario
Luigi,Super Mario,1983,Secondary,Male,Blue,Brown,Green,Blue,"Luigi is a fictional character featured in video games and related media released by Nintendo. Created by Japanese video game designer Shigeru Miyamoto, Luigi is portrayed as the younger fraternal twin brother and sidekick of Mario, Nintendo's mascot. Luigi appears in many games throughout the Mario franchise, oftentimes accompanying his brother. Luigi first appeared in the 1983 Game & Watch game Mario Bros., where he is the character controlled by the second player. He would retain this role in many future games, including Mario Bros., Super Mario Bros., Super Mario Bros. 3, Super Mario World, among other titles. He was first available as a primary character in Super Mario Bros. 2. In more recent appearances, Luigi's role became increasingly restricted to spinoffs, such as the Mario Party and Mario Kart series; however, he has been featured in a starring role in Luigi's Hammer Toss, Mario is Missing, Luigi's Mansion, Luigi's Mansion: Dark Moon, Dr. Luigi, New Super Luigi U, Luigi's Mansion Arcade, and Luigi's Mansion 3. In most of said games, he is called upon to act as the hero because Mario is in need of rescue. Luigi has also appeared in every episode of the three DiC TV series based on the NES and Super NES games.
Originally developed as a palette swap of Mario with a green color scheme instead of red, Luigi has since developed a personality and style of his own. As his role in the Mario series progressed, Luigi evolved into a physically distinct character, and was made taller and thinner than his brother. Nintendo called the period of March 2013 to March 2014 the Year of Luigi to commemorate the thirtieth anniversary of the character's existence. Correspondingly, games released in 2013 emphasized Luigi. An unlockable Luigi-themed version of Mario Bros., titled Luigi Bros., was also included with Super Mario 3D World.",super_mario_luigi.png,banner_super_mario.png,luigi,super mario
Wario,Super Mario,1992,Neutral,Male,Blue,Brown,Yellow,Purple,"Wario is a fictional character and antagonist in Nintendo's Mario series, designed as an arch-rival to Mario. He first appeared in the 1992 Game Boy game Super Mario Land 2: 6 Golden Coins as the main antagonist and final boss. His name is a portmanteau of Mario's name and the Japanese word warui, meaning ""bad"". Wario was designed by Hiroji Kiyotake, and is voiced by Charles Martinet, who voices many other characters in the series, including Mario, Luigi, and Waluigi.

Wario has become the protagonist and antihero of the Wario Land and WarioWare series, spanning handheld and console markets. In addition to appearances in spin-offs in the Mario series, he has appeared in other Nintendo properties, such as in the Super Smash Bros. series of crossover fighting games. He has also been featured in other media such as the Super Mario Adventures graphic novel. The character has received a largely positive critical reception.

",super_mario_wario.png,banner_super_mario.png,wario,super mario
Peach,Super Mario,1985,Secondary,Female,Blue,Yellow,Pink,Yellow,"Princess Peach (casually Peach, usually known as Princess Toadstool outside of Japan prior to Super Mario 64) is a main character in the Mario franchise and the princess of the Mushroom Kingdom. Peach first appeared in Super Mario Bros. and was created by Shigeru Miyamoto to be the damsel-in-distress throughout most Mario games. She resides in her castle along with many Toads, who act as her loyal servants. Her kingdom is often attacked by the Koopa Troop, a group led by Bowser. She is the love interest of Mario.

Peach has an affinity for the color pink, which accents her gentle personality and kind temperament. Peach's gentle nature and role as the damsel in distress are often represented with her heart abilities and crown emblem. Peach's initial design was said to represent her stubborn yet cute appearance.[4][dead link]

Since her debut, Peach has appeared in installments related to the Mario game series for over three decades. She has appeared in more games than any other female character in video game history. Peach is occasionally a supporting character in mainstream games and almost always playable in spin-off installments. Her most prominent appearance to date is as the heroine of Super Princess Peach and the most recent mainstream game where she appears as a playable character rather than a damsel-in-distress is Super Mario 3D World.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_peach.png,banner_super_mario.png,peach,super mario
Waluigi,Super Mario,2000,Neutral,Male,Gray,Black,Purple,Blue,"Waluigi is Luigi's lanky rival and Wario's partner. Waluigi made his debut in Mario Tennis, and since then, he has made playable appearances exclusively in the Mario franchise's spin-off titles. He makes an appearance as a playable character in all but one game in the Mario Tennis series. He has been voiced by Charles Martinet ever since his debut. His name is a portmanteau of the Japanese words warui, meaning ""bad"", and Ruīji, meaning ""Luigi"".

Waluigi is defined by his purple attire, nasally Italian accent, long handlebar-esque mustache (and other bizarre physical features), rude and trickster personality, rivalry with Luigi, and tendency to cheat.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_waluigi.png,banner_super_mario.png,waluigi,super mario
Bowser,Super Mario,1985,Antagonist,Male,Red,Red,Yellow,Green,"Bowser, sometimes known as King Koopa or King Bowser (Japanese: Daimaō Kuppa, which translates into ""Great Demon King Koopa"" or ""Great Sorcerer King Koopa,"" the latter being used in the manual of Super Mario Bros.) and more recently referred to by his minions as Lord Bowser or Master Bowser (Japanese: Kuppa-sama), is a major character and the main antagonist of the Mario franchise. He is a large, powerful, fire-breathing Koopa who leads the Koopa Troop, an antagonistic organization of turtle-like creatures, and has been the arch-nemesis of Mario since his debut in Super Mario Bros. He has repeatedly kidnapped or attempted to kidnap Princess Peach with the ultimate goal of defeating Mario and taking over the Mushroom Kingdom. Bowser's defining traits are his monstrous appearance with dragon-like elements, full-throated roar, fire-breathing abilities, cruel personality, bestial reptilian voice, never-ending conflict with Mario, and unrequited crush for Peach.

While Bowser is generally referred to as ""Koopa"" in Japanese, there are occasions where his localized name is alluded to. For example, in the Japanese version of Mario Kart Wii, the Flame Runner is known as the Super Bowser. Because all regional releases of Super Mario Sunshine use the English voice acting, Peach calls Bowser Jr. ""Bowser's son,"" and Bowser himself calls his family the ""royal Koopa line,"" meaning that Koopa is also his surname in the Japanese language. Bowser Koopa is rarely directly given as his full name, but it has occurred in some officially licensed material such as the White Knuckle Scorin' album comic, as well as certain cartoon episodes and comic issues.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_bowser.png,banner_super_mario.png,bowser,super mario
Yoshi,Super Mario,1990,Secondary,Other,Blue,None / Undefined,Green,Red,"Yoshi is a dinosaur-like character that acts as an ally of Mario and Luigi and is the protagonist of his own franchise. Among members of the Yoshi species hailing from Yoshi's Island, any Yoshi may be identified as the ""Yoshi"" character, and as such, not all iterations of the character are necessarily the same one. According to the Super Mario World manual, he got his name from Yoshi's Island because he was first discovered there. In the Super Mario series, he often acts as a rideable character for the heroes, while in most of the spin-off games, he is a playable character on his own. Yoshi's defining traits include his cutesy appearance, his cheerful and friendly personality, his flutter-jumping and egg-laying abilities, his rideability as a steed, and exclaiming his own name.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_yoshi.png,banner_super_mario.png,yoshi,super mario
Goomba,Super Mario,1985,Enemy,Other,Black,None / Undefined,Brown,Light Gray,"Goombas, initially called Little Goombas, are one of the major species of the Mario franchise. Since their first game appearance in Super Mario Bros., they have become one of the most iconic members of the Koopa Troop and the entire Mario franchise, appearing in almost every title. Goombas resemble small brown mushrooms and are a fungus-based species like Toads, Amanitas, Spooks, and Shroobs. Goombas are physically weak and are not much of a threat to Mario or Luigi, since a single stomp usually defeats them, although a number of different Goomba variants have emerged throughout the years; however, they do drop hints of being much stronger and more competent than their appearances suggest, as in the case of Captain Goomba. The Goombas, as a collective race, used to be allied with the Mushroom Kingdom. However, most of the Goombas have turned traitorous and joined the Koopa Troop, an organization led by Bowser. In many games, Goombas are the first enemy the player meets. Goombas have two feet and no visible arms or legs. Since Super Mario RPG, however, not all Goombas are allied with Bowser or the Koopa Troop. Some Goombas, such as the inhabitants of Goomba Village, live peacefully inside the borders of the Mushroom Kingdom, while others simply hold no allegiance and operate independently in distant locales such as Monstro Town and Rogueport.

Goombas, along with Koopa Troopas, are Mario's most common enemies.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_goomba.png,banner_super_mario.png,goomba,super mario
Toad,Super Mario,1985,Secondary,Male,Black,None / Undefined,Red,Light Gray,"Toad is one of the main characters of the Mario franchise. He is Princess Peach's attendant and a longtime protector of the Mushroom Kingdom. He is actually a singular character among an entire species of look-alikes (much like Yoshi is to the Yoshi species), leading to confusion over some of his appearances. He usually has the role of a supporting character who tries to help Mario and Luigi on their adventures, although he occasionally has been a main protagonist, such as in Super Mario Bros. 2, Super Mario 3D World, and his starring roles in Wario's Woods and Kinopio Live. His role as Peach's steward has sometimes instead been given to Toadsworth.

Toad also appears regularly as a playable character in the Mario spin-offs. Since Mario Kart: Double Dash!!, Toad's partner in spin-offs has been Toadette. Toad's defining traits are his cartoonish and cutesy appearance, his optimism and humble, his sometimes cowardly personality, and his characteristic smile and voice.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_toad.png,banner_super_mario.png,toad,super mario
Donkey Kong,Super Mario,1981,Neutral,Male,Black,None / Undefined,Brown,Red,"Donkey Kong, also known simply as DK, D.K., or D. Kong, is a major character in the Mario franchise and the main protagonist of the Donkey Kong franchise. He is a powerful and carefree Kong that lives in Donkey Kong Island, and he likes to collect bananas and spend time with his friends, particularly his best friend Diddy Kong. However, he has also been portrayed as an antagonist on multiple occasions, mainly in the Mario vs. Donkey Kong series.

Donkey Kong is the name of two Kongs; as of Donkey Kong Country, the original Donkey Kong is currently known as Cranky Kong, with the current Donkey Kong being Cranky Kong's grandson and Donkey Kong Jr.'s son.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_donkey_kong.png,banner_super_mario.png,donkey kong,super mario
Daisy,Super Mario,1989,Secondary,Female,Blue,Brown,Orange,Brown,"Princess Daisy, or casually Daisy, is the princess of Sarasaland and a recurring character in the Mario franchise. She is a tomboy, which is something first stated in her debut appearance, Super Mario Land. Her name, attire, emblems, and special abilities are often flower-based.

The above text is from the Super Mario Wiki and is available under a Creative Commons license. Attribution must be provided through a list of authors or a link back to the original article.",super_mario_daisy.png,banner_super_mario.png,daisy,super mario
Link,The Legend of Zelda,1986,Protagonist,Male,Blue,Yellow,Green,Sky Blue,"Link is a fictional character and the protagonist of Nintendo's video game series The Legend of Zelda. He is one of Nintendo's most iconic characters. He was created by Japanese video game designer Shigeru Miyamoto. Link was introduced as the hero of the original 1986 The Legend of Zelda video game and has appeared in a total of 19 entries in the series, as well as a number of spin-offs. Common elements in the series include Link travelling through Hyrule whilst exploring dungeons, battling creatures and solving puzzles until he eventually defeats the series' primary antagonist, Ganon, and saves Princess Zelda.

Throughout The Legend of Zelda series, Link has made multiple appearances in a variety of incarnations. He has been rendered in both 2D and 3D form and has been traditionally depicted in his signature green cap and tunic carrying a sword and shield. Over the course of the series, he appears as a child or young adult of the Hylian race, which originates from the fictional kingdom of Hyrule. Within Zelda lore, Link is the soul of a legendary hero that throughout history is reincarnated within a seemingly ordinary boy or man when the need arises for a new warrior to defeat the forces of evil. To defeat Ganon, Link usually obtains the mystical Master Sword or a similar legendary weapon, which is obtained after completing various trials. Over the course of his journey, he also acquires other magical items, including musical instruments and other weaponry.

In addition to the main series, Link has appeared in other Nintendo media, including merchandise, comics and manga, and an animated television series. He is a prominent character in various spin-off games, including Hyrule Warriors, Cadence of Hyrule and Hyrule Warriors: Age of Calamity. He has appeared in entries of several other game franchises, including the Super Smash Bros. series, SoulCalibur II and Mario Kart 8, and has also been referenced in other games, such as The Elder Scrolls V: Skyrim.

Alongside fellow Nintendo character Mario, Link is one of the most recognisable characters in the video game industry, with critics considering him to be a significant game character in popular culture. He has been positively received by critics and fans and is a popular character within the video game community. According to Guinness World Records, Link is the most critically acclaimed videogame playable character and the most ubiquitous action-adventure video game character, surpassing Mario. He has been recognised by the Guinness World Records Gamer's Edition as the second best video game character of all time after Mario. Critics have also named him as one of the most influential video game characters of all time and one of Shigeru Miyamoto's most famous creations.

",the_legend_of_zelda_link.png,banner_the_legend_of_zelda.png,link,the legend of zelda
Zelda,The Legend of Zelda,1986,Protagonist,Female,Blue,Yellow,Pink,Light Gray,"Princess Zelda is the titular character in Nintendo's The Legend of Zelda video game series. She was created by Shigeru Miyamoto and introduced in the original 1986 game The Legend of Zelda. She is one of the central characters in the series, having appeared in multiple incarnations over more than three decades. In the fictional storyline of the series, she is a princess of the kingdom of Hyrule, an associate of the protagonist Link, and bearer of the Triforce of Wisdom.

Though she is the eponymous character, Zelda's story role is often that of a damsel in distress or donor who assists Link. In many games, Zelda is captured by the antagonist Ganon, necessitating Link to come to her rescue. In several games she is one of the Sages or Champions whose heroism is essential to defeating Ganon; in others, like Ocarina of Time and The Wind Waker, she adopts alternative personas to take a more active role in the story. In Skyward Sword, she is established as the mortal reincarnation of the goddess Hylia, which gives her incarnations a range of magical powers.

Zelda is a widely recognisable character in video gaming and a popular character with gamers and cosplayers. In addition to The Legend of Zelda series, she has appeared as a playable character in a number of spin-off games and other game series, including Hyrule Warriors, Cadence of Hyrule and Hyrule Warriors: Age of Calamity. She also appears as a playable character in the Super Smash Bros. series. Critics have responded positively to her character development and have listed her as one of the greatest female video game characters of all time.

",the_legend_of_zelda_zelda.png,banner_the_legend_of_zelda.png,zelda,the legend of zelda
Ganondorf,The Legend of Zelda,1986,Antagonist,Male,Yellow,Red,Dark Gray,Red,"Ganon (known as Ganondorf Dragmire in his Gerudo form) is the series' main villain and most recurring final boss.

In the games, Ganondorf is the leader of the desert-dwelling Gerudo race and Link's evil archenemy. His specific motives vary from game to game, but most often include kidnapping Princess Zelda and seeking the Triforce.

In many games, he already possesses or acquires a portion of the Triforce called the Triforce of Power, leading him to seek the Triforce of Wisdom and the Triforce of Courage, held by Zelda and Link respectively. In Ocarina of Time, he uses the child Link, who has possession of the Master Sword, to grab the Triforce. Since Ganondorf's heart is only in balance to the Triforce of Power, it breaks in three - Power given to Ganondorf, Courage given to Link (who was in a seven-year unconscious state at the time), and Wisdom to Zelda (who has gone into hiding as Sheik). In order to possess all three, Ganon must vanquish the other two.

Unlike most other characters, Ganon is the same version of his character in every game with the exception of Four Swords Adventures where he is Ganon's reincarnation. He is also the physical personification of the Demon King Demise's hatred and is destined to reincarnate eternally if he is killed.",the_legend_of_zelda_ganondorf.png,banner_the_legend_of_zelda.png,ganondorf,the legend of zelda
Old Man,The Legend of Zelda,1986,Secondary,Male,Brown,White,Red,Light Gray,"The Old Man is a character in multiple titles in the series, notably the original Legend of Zelda. He is a bald man with a red robe and white beard. Link can usually find him inside dungeons or caves standing between two torches. The Old Man has several functions, commonly giving Link items or advice. He is known for his vague advice, such as ""DODONGO DISLIKES SMOKE"", some of which was corrected in later releases of the game. He appears later in The Legend of Zelda: Oracle of Seasons (2001). In The Legend of Zelda: Breath of the Wild (2017), Link encounters an old man early in the game who is later revealed to be the deceased King of Hyrule, King Rhoam Bosphoramus Hyrule.

IGN ranked him number five on its list of the Top 20 Weirdest Zelda Characters. His expression, ""IT'S DANGEROUS TO GO ALONE! TAKE THIS"" from The Legend of Zelda is a popular Internet meme that has been included in a list of the most repeated video games quotes compiled by GamesRadar.

",the_legend_of_zelda_old_man.png,banner_the_legend_of_zelda.png,old man,the legend of zelda
Impa,The Legend of Zelda,1998,Secondary,Female,Brown,White,Red,Light Gray,"Impa is a caretaker to Princess Zelda. There are many incarnations of the character named Impa throughout the Zelda series, all being from the head family of the Sheikah Tribe, just as there are multiple incarnations of Link and Zelda. As with Link and Zelda, all incarnations of Impa share certain personality traits.

The original Impa (appearing in The Legend of Zelda and The Adventure of Link instruction manuals, but not in the actual games) is portrayed as an old woman who calls for Link to save Zelda from Ganon and his henchmen. The Impa from The Legend of Zelda also inspired a separate incarnation of her who appears in the Philips spin-off Zelda: Wand of Gamelon. In the game, she assists Zelda on her quest by giving her tips provided by the Triforce of Wisdom. Eve Karpf voices Impa in Zelda: The Wand of Gamelon.

The Impa of Ocarina of Time is a Sheikah who is both Zelda's bodyguard and a descendant of the tribe that founded Kakariko Village. After Link talks with Princess Zelda, Impa appears and teaches him ""Zelda's Lullaby"" and helps him get out of Hyrule Castle. When Ganondorf attacks Hyrule Castle Town, Impa helps Princess Zelda escape on a white horse. It is later revealed that she is in fact the Sage of Shadow, one of the Six Sages who were led by Princess Zelda herself.

An overweight version of Impa is a main character in Oracle of Seasons and Oracle of Ages. In the latter she is briefly possessed by Veran.

In Twilight Princess, a character named Impaz dwells in a village with a sign in Hylian text which reads ""Old Kakarico"" [sic], and claims that she is serving both the Royal Family and that she was named after the founder of the village. She is also of the Impa family.

In Skyward Sword, Impa is a Sheikah under Hylia assigned to protect Zelda during her time on the surface. Impa appears as both a young time traveler who eventually returns to her time and as the elderly overseer of the Sealed Grounds who eventually passes away once her purpose is fulfilled. This incarnation of Impa is seemingly harsher towards others as shown during the first portion of the story. Even though she knows Link is Hylia's chosen warrior, Impa initially believes him to be incompetent and chastises his inability to protect Zelda. She does become less harsh in her old age.

In The Legend of Zelda: A Link Between Worlds, Lady Impa is once again Zelda's nursemaid, and her lineage from one of the Six Sages is well-known. She is eventually captured by Yuga and is used alongside the other Sages and Princess Zelda to release Ganon. Once Link frees her from the Turtle Rock dungeon, she is sent to the Spirit World to assist him when all Sages are brought together and presents him with the Triforce of Courage.

Impa appears as a playable character in Hyrule Warriors, with her design and role being a hybrid of her Ocarina of Time and Skyward Sword incarnations. This version of Impa functions as a general in the Hyrulean army, capable of wielding a giant sword or a naginata. Unlike the Ocarina of Time version, Impa is initially oblivious of Sheik's identity which causes her to be distrustful of the ninja. It is only after the defeat of the false Zelda in the Water Temple in the Era of the Hero of Time, that Impa learns Sheik's identity.

In Breath of the Wild, she is the elder of Kakariko Village, the Sheikah People's village, and was the former advisor to Hyrule's royal family. She guides Link on his journey and relates some events of the Great Calamity. She is the first incarnation of Impa shown to have family relatives. She is 120 years old, and has a 124 year old sister, Purah, who appears six years old due to a mishap involving a rune when she attempted to make herself younger, and a granddaughter, Paya, who harbors a secret crush on Link. A younger version of Impa appears as a playable character in Hyrule Warriors: Age of Calamity. As a young adult, she looks nearly identical to Paya, though unlike her granddaughter, she has a blue Sheikah symbol on her forehead instead of red.

",the_legend_of_zelda_impa.png,banner_the_legend_of_zelda.png,impa,the legend of zelda
